EO,SS
1.33634480957356e6,-9.1934813271811e6
2.6421255015690466e6,-1.0699242937837709e7
3.947906193564533e6,-1.1677720218908057e7
5.253686885560019e6,-1.2051640882783424e7
6.559467577555506e6,-1.227673452730028e7
