EO,SS,PCT
1.58E+06,-1.02E+07,0.5
3.05E+06,-1.18E+07,0.535714286
4.52E+06,-1.26E+07,0.65625
5.99E+06,-1.30E+07,0.633333333
7.47E+06,-1.33E+07,0.814814815
