EO,SS
905237.170677799,-9.16961495628338e6
2.596703224540186e6,-1.1249843181737576e7
4.288169278402573e6,-1.2291016115949703e7
5.97963533226496e6,-1.2840372863405662e7
7.671101386127347e6,-1.3171065447874242e7
