EO,SS
963557.1950035674,-9.21919902575658e6
2.782953131107927e6,-1.136474265855955e7
4.602349067212286e6,-1.2424974768191585e7
6.4217450033166455e6,-1.300959715790285e7
8.241140939421005e6,-1.3274571849218788e7
