,Argentina,Australia,Bahrain,Bolivia,Brazil,Canada,Chile,China,Colombia,Congo,Cuba,Finland,France ,Gabon,Germany,Ghana ,India,Indonesia ,Iran,Japan,Kazakhstan,Madagascar,Malaysia,Mexico,New Caledonia,Norway ,Papua New Guinea,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States,Zambia,Zimbabwe
Portugal,10329.62158,16150.8976,5593.871037,8440.359598,7486.775156,6917.856899,10570.8579,9157.713194,7640.9049,5722.919653,6789.261122,3391.32562,1139.01226,4905.573697,1951.042986,3570.481984,8340.059956,12768.04137,5520.853704,10933.96315,5873.303867,8630.43785,11417.50267,8717.971273,17876.43709,2612.796894,15401.81573,8729.595606,12236.12158,0,7310.716061,5250.236972,8419.602492,10504.37726,3709.852719,3269.871758,6031.028902,7317.505973,6933.476722,7567.325507
Russia,17335.14056,9983.615629,5637.640617,14909.06046,14451.53219,6644.488213,17132.37209,2854.619435,12665.61483,10062.08871,10776.6683,3924.500046,6221.136133,10282.69362,5420.693349,10079.8247,4985.674064,6967.459455,4875.776844,3628.98159,2823.606433,10304.43279,6379.105265,10222.49174,10600.62982,4730.102519,8242.705832,14195.762,5568.840351,7310.716061,0,6125.450211,12577.20769,3253.093746,5251.476651,4665.926045,5731.055297,8886.09707,10639.30931,11151.58158
Saudi arabia,13206.27509,10993.0281,603.0276386,12591.13434,11340.17654,10718.13264,13863.69396,5766.631372,12732.846,4002.616384,12035.67159,4474.549771,4546.311443,4536.922948,4233.641191,5209.769153,3498.394735,7902.611485,1269.53357,8735.586597,3301.865806,4746.762176,6465.545399,13681.08376,13937.76248,4940.850045,11191.53303,13471.15645,8097.119791,5250.236972,6125.450211,0,6498.063519,7853.23989,1915.891328,2985.62133,894.4385043,12089.24643,4522.377449,5073.262919
South Africa,7685.36864,10389.48852,6948.247349,8772.148115,7777.147198,15184.02216,8451.183912,11237.06037,10957.91982,2951.614144,12187.3639,10286.82939,8789.4928,3518.04375,9169.5819,4986.252299,8255.041818,10057.12488,7715.889326,14086.85604,9775.218309,2742.048326,9202.862836,14615.38075,13040.80509,10208.03413,12526.22651,10239.56064,11566.65768,8419.602492,12577.20769,6498.063519,0,13173.26223,7834.945433,8815.81557,6848.370713,14398.78875,2002.116866,1428.080869
South korea,18969.30627,6832.373443,7254.569965,17561.20339,17605.01551,8578.946335,18276.08914,2118.366623,14961.17614,11710.44546,13086.37414,7118.482038,9384.192273,12389.71895,8569.698987,12779.31989,5016.717923,4325.16857,6656.746627,942.7528919,5068.176467,10437.04843,4404.754165,11542.90227,7467.619289,7966.171635,4990.157787,16255.2175,2629.996589,10504.37726,3253.093746,7853.23989,13173.26223,0,7790.118092,7547.666736,7111.944896,10742.66402,11743.50319,11987.24505
Turkey,13230.44241,12441.39536,2023.763759,11888.58236,10757.23985,8837.838832,13711.25841,5949.881692,11349.83269,4978.135217,10340.43109,2633.75818,2798.871283,5036.750841,2354.71252,4997.272507,4631.176991,9087.106239,1812.910136,8527.719822,2723.08861,6532.541704,7712.527555,11786.18657,14902.26509,3026.413347,12063.30416,12396.20624,8815.365696,3709.852719,5251.476651,1915.891328,7834.945433,7790.118092,0,1096.72158,2463.613435,10181.66648,5843.683467,6478.110754
Ukraine,13401.64971,12983.39974,2998.465318,11699.98213,10686.58042,7744.826565,13753.45741,5947.098824,10754.33096,5899.919445,9538.068253,1543.625767,2182.95346,5784.802665,1514.057888,5414.72333,5238.248479,9539.191267,2586.186504,8172.360168,2626.273826,7627.78843,8248.444816,10779.27677,14958.91937,1972.353674,12203.85044,11962.82441,8985.349617,3269.871758,4665.926045,2985.62133,8815.81557,7547.666736,1096.72158,0,3418.082364,9158.482321,6847.828244,7496.646149
United Arab Emirates,13938.47959,10164.34696,443.5086273,13471.63369,12214.52432,10973.6126,14629.89624,5000.886108,13591.00759,4628.815798,12777.61704,4778.106015,5234.386695,5298.103946,4814.915678,6082.149853,2604.886915,7017.697127,1001.304401,8019.563772,2969.140497,4752.175375,5582.936812,14194.93867,13051.16348,5385.008113,10297.16394,14364.92007,7212.57171,6031.028902,5731.055297,894.4385043,6848.370713,7111.944896,2463.613435,3418.082364,0,12569.11452,4952.012437,5426.534868
United States,9017.693642,15184.50427,12156.43517,6823.150078,7316.928875,2261.538693,8466.860198,11647.27994,4222.315612,12695.77806,2444.935454,7823.308736,7665.594666,11590.71472,7861.481084,9887.890006,13576.68806,14961.82728,11657.91041,10150.45032,10396.00106,15850.809,15070.5141,1632.529251,12133.28582,7186.812283,13101.21402,5580.343039,13216.16905,7317.505973,8886.09707,12089.24643,14398.78875,10742.66402,10181.66648,9158.482321,12569.11452,0,13844.46432,14330.35749
Zambia,9230.465866,10932.17162,5003.60518,9750.861413,8571.872193,13848.4762,9985.791654,9668.53908,11436.2042,1212.569352,12132.94902,8348.113043,7081.479492,2253.750555,7345.903445,3957.605057,6727.723847,9562.277033,5763.532618,12686.25606,7819.21429,2126.106268,8404.579893,14679.5946,14048.02508,8364.502705,12635.81517,11146.04479,10745.87478,6933.476722,10639.30931,4522.377449,2002.116866,11743.50319,5843.683467,6847.828244,4952.012437,13844.46432,0,668.6931871
Zimbabwe,8940.932709,10496.58284,5520.250133,9701.901574,8579.935158,14485.05258,9705.12982,9963.540149,11585.8562,1848.960594,12461.60626,9005.151997,7744.507413,2785.577688,8014.59656,4464.06288,6987.036875,9428.797306,6287.808656,12924.78982,8347.153858,1863.056046,8367.665959,15009.33353,13521.456,9032.745921,12342.38323,11137.53496,10740.20594,7567.325507,11151.58158,5073.262919,1428.080869,11987.24505,6478.110754,7496.646149,5426.534868,14330.35749,668.6931871,0
